residue	time_spent
2147450033	750.724000
4294950485	738.902000
8589934588	750.152000
2147483651	728.162000
2147534070	729.905000
2147500452	727.646000
2147433220	724.947000
2147500452	751.639000
2147500456	754.433000
2147534074	761.262000
2147534066	760.095000
4295000908	749.886000
2147483655	753.610000
4294967298	765.584000
2147450033	746.351000
2147483643	752.298000
4294916871	747.590000
16805	753.094000
2147466838	761.632000
2147365996	724.659000
4	723.798000
16809	738.737000
16805	734.381000
33614	730.187000
2147466842	748.585000
2147466838	755.020000
2147416427	761.117000
33610	761.236000
33622	753.028000
4	751.449000
16805	747.761000
2147450033	758.776000
2147466838	758.723000
16805	750.725000
2147500456	761.810000
2147483643	746.817000
2147483655	763.202000
2147433220	742.401000
16805	729.448000
16805	720.618000
2147483643	731.555000
2147433216	722.164000
6442400526	730.154000
2147500444	721.369000
16805	722.660000
4	724.771000
2147450029	719.920000
4294984111	729.556000
16809	725.453000
2147517257	719.713000
4294950489	724.307000
2147500452	733.616000
2147382801	728.776000
33614	732.049000
2147450029	767.830000
2147450037	748.743000
16801	754.160000
33622	750.382000
2147416423	754.481000
2147500456	743.165000
16805	732.122000
4	725.551000
2147466834	743.588000
50419	732.374000
2147483647	745.952000
4294916875	755.858000
2147433228	754.955000
50427	748.287000
4294866456	759.091000
2147433220	788.387000
2147433220	777.551000
2147433224	731.603000
2147466834	735.979000
2147466838	742.882000
4295000912	740.575000
16801	731.968000
16809	737.178000
2147466838	735.922000
0	723.553000
4	717.773000
16801	728.096000
16809	717.611000
2147534066	728.415000
2147450029	720.853000
2147433220	732.049000
2147450037	743.735000
16797	753.344000
2147517261	762.606000
2147450033	750.940000
16801	760.298000
4295000908	745.071000
16817	744.750000
33610	751.776000
2147483639	747.069000
16809	757.643000
16801	760.633000
2147550875	737.210000
2147483647	749.972000
8	750.997000
2147416419	745.143000
